name,address,lat,lng,rating,userRatingCount,priceLevel,website
El Taco Loco,"C. 6 75, Emiliano Zapata 1a Secc, 55200 Ecatepec de Morelos, Méx., Mexico",19.5136648,-99.0469642,4.4,28.0,PRICE_LEVEL_INEXPENSIVE,
Tacos Martin,"C. 12 295, Leyes de Reforma 1ra Secc, Iztapalapa, 09310 Ciudad de México, CDMX, Mexico",19.3637271,-99.0689316,4.9,28.0,,
LOS AUTÉNTICOS TACOS HERRERA,"C. 39 10, Santa Cruz Meyehualco, Iztapalapa, 09290 Ciudad de México, CDMX, Mexico",19.3438697,-99.040892,5.0,28.0,,
"Antojitos Mexicanos ""Los Angeles""","Av. Ing. Alfredo Robles Domínguez 194-Local E, Vallejo, Gustavo A. Madero, 07870 Ciudad de México, CDMX, Mexico",19.4699589,-99.1325311,3.6,28.0,,
Tacos El Flaco,"Manzana 037, Croc Aragon Avenida Central, 55294 Ecatepec de Morelos, Méx., Mexico",19.4933176,-99.0407181,4.5,28.0,,
Tacos al Pastor,"Av. 521 177, San Juan de Aragón I Secc, Gustavo A. Madero, 07969 Ciudad de México, CDMX, Mexico",19.4614261,-99.0904698,4.4,28.0,,
El Gran Taquero,"Tepetlapa, Central Esquina, Coapa, Alianza Popular Revolucionaria, Coyoacán, 04800 Ciudad de México, CDMX, Mexico",19.316533,-99.1188489,4.8,28.0,,
Tacos Del Trompas,"Sanctorum 128, Argentina Poniente, Miguel Hidalgo, 11230 Ciudad de México, CDMX, Mexico",19.4576567,-99.2076047,4.3,28.0,PRICE_LEVEL_INEXPENSIVE,
Tacos vargas,"Revolución, Rafael Checa, San Ángel, Álvaro Obregón, 01080 Ciudad de México, CDMX, Mexico",19.3442797,-99.1899973,4.4,28.0,,
Tacos Los Deyvis,"Av. 12 177, Ignacio Zaragoza, Venustiano Carranza, 15000 Ciudad de México, CDMX, Mexico",19.4106013,-99.0909125,4.8,28.0,,
TACOS EL CUÑADO Buenos,"Nahuatlacas Esq. Coras, Coyoacán, Ajusco, Coyoacán, 04300 Ciudad de México, CDMX, Mexico",19.3237335,-99.1531014,3.8,28.0,PRICE_LEVEL_INEXPENSIVE,
"""Tacos Vero""","J. Aguilar y López 7, San Diego Churubusco, Coyoacán, 04120 Ciudad de México, CDMX, Mexico",19.3503291,-99.1465415,4.5,28.0,,
"Tacos ""El Curtis""","C. Tetrazzini 83-93, Peralvillo, Cuauhtémoc, 06220 Ciudad de México, CDMX, Mexico",19.4608914,-99.1332087,4.4,27.0,,
Tacos Don Manolito Del Valle,"Av. División del Nte. 1234, Letran Valle, Benito Juárez, 03104 Ciudad de México, CDMX, Mexico",19.3780415,-99.1586908,4.6,27.0,,
"Tacos y chimichangas ""El Palomo""","Gral. Jose Maria Mendivil 37, Daniel Garza al Poniente, Miguel Hidalgo, 11830 Ciudad de México, CDMX, Mexico",19.4061549,-99.2000343,4.7,27.0,,
Tacos La Sombrilla Azul,"11550 de, Campos Elíseos 363, Polanco, Bosque de Chapultepec I Secc, Miguel Hidalgo, 11540 Ciudad de México, CDMX, Mexico",19.4291393,-99.2014888,4.7,27.0,,
Tacos el Güero,"Av. Universidad 975, Col del Valle Sur, Benito Juárez, 03104 Ciudad de México, CDMX, Mexico",19.3682288,-99.1667898,4.0,27.0,,
"Tacos ""Teo""","07570, Villa de Aragón 31, Villa de Aragón, Gustavo A. Madero, 07570 Ciudad de México, CDMX, Mexico",19.4683467,-99.0610763,4.4,27.0,,
